"","team","season","pts_pct"
"384","BOS","2006-07",0.463
"385","BOS","2005-06",0.451
"386","BOS","2003-04",0.634
"387","BOS","2002-03",0.53
"388","BOS","2001-02",0.616
"389","BOS","2000-01",0.537
"390","BOS","1999-00",0.445
"391","BOS","1998-99",0.555
"392","BOS","1997-98",0.555
"393","BOS","1996-97",0.372
"394","BOS","1995-96",0.555
"395","BOS","1994-95",0.594
"396","BOS","1993-94",0.577
"397","BOS","1992-93",0.649
"398","BOS","1991-92",0.525
"399","BOS","1990-91",0.625
"400","BOS","1989-90",0.631
"401","BOS","1988-89",0.55
"402","BOS","1987-88",0.588
"403","BOS","1986-87",0.531
"404","BOS","1985-86",0.538
"405","BOS","1984-85",0.513
"406","BOS","1983-84",0.65
"407","BOS","1982-83",0.688
"408","BOS","1981-82",0.6
"409","BOS","1980-81",0.544
"410","BOS","1979-80",0.656
"411","BOS","1978-79",0.625
"412","BOS","1977-78",0.706
"413","BOS","1976-77",0.663
"414","BOS","1975-76",0.706
"415","BOS","1974-75",0.588
"416","BOS","1973-74",0.724
"417","BOS","1972-73",0.686
"418","FLA","2023-24",0.691
"419","FLA","2022-23",0.561
"420","FLA","2021-22",0.744
"421","FLA","2020-21",0.705
"422","FLA","2019-20",0.565
"423","FLA","2018-19",0.524
"424","FLA","2017-18",0.585
"425","FLA","2016-17",0.494
"426","FLA","2015-16",0.628
"427","FLA","2014-15",0.555
"428","FLA","2013-14",0.402
"429","FLA","2012-13",0.375
"430","FLA","2011-12",0.573
"431","FLA","2010-11",0.439
"432","FLA","2009-10",0.47
"433","FLA","2008-09",0.567
"434","FLA","2007-08",0.518
"435","FLA","2006-07",0.524
"436","FLA","2005-06",0.518
"437","FLA","2003-04",0.457
"438","FLA","2002-03",0.427
"439","FLA","2001-02",0.366
"440","FLA","2000-01",0.402
"441","FLA","1999-00",0.598
"442","FLA","1998-99",0.476
"443","FLA","1997-98",0.384
"444","FLA","1996-97",0.543
"445","FLA","1995-96",0.561
"446","FLA","1994-95",0.479
"447","FLA","1993-94",0.494
"448","TOR","2023-24",0.644
"449","TOR","2022-23",0.677
"450","TOR","2021-22",0.701
"451","TOR","2020-21",0.688
"452","TOR","2019-20",0.579
"453","TOR","2018-19",0.61
"454","TOR","2017-18",0.64
"455","TOR","2016-17",0.579
"456","TOR","2015-16",0.421
"457","TOR","2014-15",0.415
"458","TOR","2013-14",0.512
"459","TOR","2012-13",0.594
"460","TOR","2011-12",0.488
"461","TOR","2010-11",0.518
"462","TOR","2009-10",0.451
"463","TOR","2008-09",0.494
"464","TOR","2007-08",0.506
"465","TOR","2006-07",0.555
"466","TOR","2005-06",0.549
"467","TOR","2003-04",0.628
"468","TOR","2002-03",0.598
"469","TOR","2001-02",0.61
"470","TOR","2000-01",0.549
"471","TOR","1999-00",0.61
"472","TOR","1998-99",0.591
"473","TOR","1997-98",0.421
"474","TOR","1996-97",0.415
"475","TOR","1995-96",0.488
"476","TOR","1994-95",0.521
"477","TOR","1993-94",0.583
"478","TOR","1992-93",0.589
"479","TOR","1991-92",0.419
"480","TOR","1990-91",0.356
"481","TOR","1989-90",0.5
"482","TOR","1988-89",0.388
"483","TOR","1987-88",0.325
"484","TOR","1986-87",0.438
"485","TOR","1985-86",0.356
"486","TOR","1984-85",0.3
"487","TOR","1983-84",0.381
"488","TOR","1982-83",0.425
"489","TOR","1981-82",0.35
"490","TOR","1980-81",0.444
"491","TOR","1979-80",0.469
"492","TOR","1978-79",0.506
"493","TOR","1977-78",0.575
"494","TOR","1976-77",0.506
"495","TOR","1975-76",0.519
"496","TOR","1974-75",0.488
"497","TOR","1973-74",0.551
"498","TOR","1972-73",0.41
"499","TBL","2023-24",0.582
"500","TBL","2022-23",0.598
"501","TBL","2021-22",0.671
"502","TBL","2020-21",0.67
"503","TBL","2019-20",0.657
"504","TBL","2018-19",0.78
"505","TBL","2017-18",0.689
"506","TBL","2016-17",0.573
"507","TBL","2015-16",0.591
"508","TBL","2014-15",0.659
"509","TBL","2013-14",0.616
"510","TBL","2012-13",0.417
"511","TBL","2011-12",0.512
"512","TBL","2010-11",0.628
"513","TBL","2009-10",0.488
"514","TBL","2008-09",0.402
"515","TBL","2007-08",0.433
"516","TBL","2006-07",0.567
"517","TBL","2005-06",0.561
"518","TBL","2003-04",0.646
"519","TBL","2002-03",0.567
"520","TBL","2001-02",0.421
"521","TBL","2000-01",0.36
"522","TBL","1999-00",0.329
"523","TBL","1998-99",0.287
"524","TBL","1997-98",0.268
"525","TBL","1996-97",0.451
"526","TBL","1995-96",0.537
"527","TBL","1994-95",0.385
"528","TBL","1993-94",0.423
"529","TBL","1992-93",0.315
"530","DET","2023-24",0.544
"531","DET","2022-23",0.488
"532","DET","2021-22",0.451
"533","DET","2020-21",0.429
"534","DET","2019-20",0.275
"535","DET","2018-19",0.451
"536","DET","2017-18",0.445
"537","DET","2016-17",0.482
"538","DET","2015-16",0.567
"539","DET","2014-15",0.61
"540","DET","2013-14",0.567
"541","DET","2012-13",0.583
"542","DET","2011-12",0.622
"543","DET","2010-11",0.634
"544","DET","2009-10",0.622
"545","DET","2008-09",0.683
"546","DET","2007-08",0.701
"547","DET","2006-07",0.689
"548","DET","2005-06",0.756
"549","DET","2003-04",0.665
"550","DET","2002-03",0.671
"551","DET","2001-02",0.707
"552","DET","2000-01",0.677
"553","DET","1999-00",0.659
"554","DET","1998-99",0.567
"555","DET","1997-98",0.628
"556","DET","1996-97",0.573
"557","DET","1995-96",0.799
"558","DET","1994-95",0.729
"559","DET","1993-94",0.595
"560","DET","1992-93",0.613
"561","DET","1991-92",0.613
"562","DET","1990-91",0.475
"563","DET","1989-90",0.438
"564","DET","1988-89",0.5
"565","DET","1987-88",0.581
"566","DET","1986-87",0.488
"567","DET","1985-86",0.25
"568","DET","1984-85",0.413
"569","DET","1983-84",0.431
"570","DET","1982-83",0.356
"571","DET","1981-82",0.338
"572","DET","1980-81",0.35
"573","DET","1979-80",0.394
"574","DET","1978-79",0.388
"575","DET","1977-78",0.488
"576","DET","1976-77",0.256
"577","DET","1975-76",0.388
"578","DET","1974-75",0.363
"579","DET","1973-74",0.436
"580","DET","1972-73",0.551
"581","BUF","2023-24",0.514
"582","BUF","2022-23",0.555
"583","BUF","2021-22",0.457
"584","BUF","2020-21",0.33
"585","BUF","2019-20",0.493
"586","BUF","2018-19",0.463
"587","BUF","2017-18",0.378
"588","BUF","2016-17",0.476
"589","BUF","2015-16",0.494
"590","BUF","2014-15",0.329
"591","BUF","2013-14",0.317
"592","BUF","2012-13",0.5
"593","BUF","2011-12",0.543
"594","BUF","2010-11",0.585
"595","BUF","2009-10",0.61
"596","BUF","2008-09",0.555
"597","BUF","2007-08",0.549
"598","BUF","2006-07",0.689
"599","BUF","2005-06",0.671
"600","BUF","2003-04",0.518
"601","BUF","2002-03",0.439
"602","BUF","2001-02",0.5
"603","BUF","2000-01",0.598
"604","BUF","1999-00",0.518
"605","BUF","1998-99",0.555
"606","BUF","1997-98",0.543
"607","BUF","1996-97",0.561
"608","BUF","1995-96",0.445
"609","BUF","1994-95",0.531
"610","BUF","1993-94",0.565
"611","BUF","1992-93",0.512
"612","BUF","1991-92",0.463
"613","BUF","1990-91",0.506
"614","BUF","1989-90",0.613
